"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 23:21:52 TRT 2024","Sun Feb 04 23:21:52 TRT 2024","305","","tests/Api/api.spec.ts","API Testing","","","Simple API Test - Assert Response Status",""
"passed","Sun Feb 04 23:21:52 TRT 2024","Sun Feb 04 23:21:52 TRT 2024","302","","tests/Api/api.spec.ts","API Testing","","","Simple API Test - Assert Invalid Endpoint",""
