"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 23:55:12 TRT 2024","Sun Feb 04 23:55:12 TRT 2024","180","","tests/Api/api.spec.ts","API Testing","","","Simple API Test - Assert Response Status",""
"passed","Sun Feb 04 23:55:12 TRT 2024","Sun Feb 04 23:55:12 TRT 2024","188","","tests/Api/api.spec.ts","API Testing","","","Simple API Test - Assert Invalid Endpoint",""
