"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 22:05:28 TRT 2024","Wed Jan 31 22:05:28 TRT 2024","350","Chromium","","API Testing","","","Simple API Test - Assert Invalid Endpoint",""
"passed","Wed Jan 31 22:05:28 TRT 2024","Wed Jan 31 22:05:28 TRT 2024","375","Chromium","","API Testing","","","Simple API Test - Assert Response Status",""
